x	y	d
540.0	1028.0	1.8927530496663656
244.0	1027.0	2.9168983413444924
317.0	1029.0	0.6691773665354774
321.0	1027.0	2.9926947063768603
944.0	1029.0	0.6691773665354774
63.0	1027.0	3.0665974553989703
894.0	1026.0	4.232294399873157
998.0	1027.0	1.3383547330709549
326.0	1026.0	1.4963260805776206
362.0	1022.0	5.9100791093375955
376.0	1026.0	1.3383547330709549
581.0	1027.0	0.6691773665354774
945.0	1027.0	0.9463597073875839
423.0	1026.0	1.1590491981145883
409.0	1023.0	4.015111766273047
1089.0	1024.0	3.138760631418521
416.0	1024.0	1.4963260805776206
19.0	1024.0	1.3383547330709549
513.0	1023.0	2.219438926997406
980.0	1014.0	11.744145218915731
386.0	1021.0	2.591737359804196
480.0	1022.0	0.6691773665354774
871.0	1022.0	1.1590491981145883
467.0	1022.0	0.9463597073875839
522.0	1020.0	2.4127796928932637
379.0	1014.0	6.889676586551186
42.0	1017.0	3.665270124344132
318.0	1018.0	2.9168983413444924
144.0	1018.0	3.0665974553989703
500.0	1019.0	1.3383547330709549
537.0	1016.0	2.219438926997406
357.0	1017.0	0.6691773665354774
136.0	1016.0	0.9463597073875839
2.0	1015.0	2.3181258590841773
369.0	1015.0	1.639143095431311
763.0	1015.0	2.007563810917273
101.0	1011.0	4.7318523529359755
331.0	1013.0	0.6691773665354774
467.0	1013.0	0.9463597073875839
854.0	1012.0	2.1161547209001617
990.0	1011.0	3.0665974553989703
240.0	1008.0	6.954368423015732
332.0	1012.0	1.3383547330709549
360.0	1011.0	2.9926947063768603
352.0	1010.0	2.1161547209001617
512.0	1009.0	5.096352958052708
398.0	1011.0	0.6691773665354774
417.0	1008.0	2.839101545534237
932.0	1010.0	1.4963260805776206
952.0	1011.0	0.9463597073875839
325.0	1010.0	1.1590491981145883
369.0	1009.0	3.84418098585566
917.0	1010.0	0.6691773665354774
923.0	1008.0	4.232294399873157
912.0	1004.0	4.917481070784021
386.0	1008.0	1.7705128520115212
754.0	1008.0	1.3383547330709549
961.0	1008.0	1.3383547330709549
761.0	1008.0	1.3383547330709549
335.0	1007.0	1.3383547330709549
350.0	1006.0	1.639143095431311
908.0	1007.0	0.6691773665354774
948.0	1005.0	3.2783250292046255
843.0	1005.0	1.3383547330709549
520.0	1004.0	1.3383547330709549
148.0	1004.0	0.6691773665354774
299.0	1004.0	1.639143095431311
332.0	1003.0	2.7591120379519816
841.0	1004.0	0.6691773665354774
836.0	1003.0	1.3383547330709549
919.0	1002.0	2.9926947063768603
143.0	1003.0	0.6691773665354774
146.0	1003.0	1.639143095431311
103.0	1001.0	1.3383547330709549
347.0	1001.0	2.219438926997406
467.0	999.0	4.388132966404705
887.0	1000.0	4.53863782411114
929.0	1002.0	0.6691773665354774
943.0	997.0	6.791483521560038
514.0	1001.0	0.9463597073875839
541.0	1000.0	3.345924886334549
576.0	1001.0	0.9463597073875839
605.0	1001.0	0.9463597073875839
763.0	1001.0	1.4963260805776206
316.0	1001.0	0.6691773665354774
339.0	998.0	3.2783250292046255
860.0	1000.0	0.9463597073875839
963.0	1001.0	0.6691773665354774
420.0	998.0	3.7258560670392256
781.0	1000.0	0.9463597073875839
367.0	999.0	1.4963260805776206
290.0	999.0	1.3383547330709549
319.0	999.0	0.9463597073875839
327.0	995.0	3.6036657359591904
389.0	997.0	2.503857862244075
780.0	998.0	0.9463597073875839
376.0	997.0	1.3383547330709549
343.0	996.0	0.9463597073875839
865.0	996.0	1.639143095431311
883.0	995.0	2.007563810917273
917.0	996.0	1.3383547330709549
102.0	995.0	1.639143095431311
223.0	995.0	1.1590491981145883
830.0	994.0	3.4121857647080445
968.0	995.0	0.9463597073875839
130.0	994.0	1.4963260805776206
776.0	994.0	1.7705128520115212
863.0	995.0	0.9463597073875839
903.0	995.0	0.9463597073875839
4.0	994.0	2.3181258590841773
240.0	992.0	2.591737359804196
628.0	994.0	0.6691773665354774
723.0	992.0	2.676733249707221
226.0	991.0	2.503857862244075
746.0	993.0	1.1590491981145883
399.0	989.0	9.857707948499716
469.0	990.0	2.3181258590841773
589.0	991.0	2.839101545534237
873.0	992.0	1.1590491981145883
889.0	991.0	2.9926947063768603
905.0	991.0	1.4963260805776206
913.0	992.0	1.3383547330709549
147.0	991.0	1.1590491981145883
332.0	990.0	2.1161547209001617
415.0	988.0	4.015111766273047
922.0	989.0	1.8927530496663656
971.0	989.0	2.676733249707221
1195.0	988.0	3.0665974553989703
284.0	988.0	2.4127796928932637
657.0	988.0	2.591737359804196
862.0	988.0	2.839101545534237
480.0	989.0	0.9463597073875839
839.0	984.0	4.070493931152289
130.0	988.0	2.9168983413444924
254.0	987.0	3.138760631418521
434.0	988.0	0.6691773665354774
714.0	988.0	1.3383547330709549
1139.0	987.0	2.1161547209001617
648.0	985.0	3.4121857647080445
785.0	986.0	1.639143095431311
234.0	985.0	3.477184211507866
383.0	985.0	2.007563810917273
533.0	985.0	1.7705128520115212
804.0	983.0	3.9019899794716992
813.0	986.0	1.8927530496663656
268.0	986.0	0.6691773665354774
424.0	985.0	2.503857862244075
5.0	982.0	5.395139408040404
102.0	982.0	5.436481176282497
447.0	985.0	0.9463597073875839
775.0	984.0	2.219438926997406
140.0	984.0	3.2783250292046255
1147.0	985.0	0.6691773665354774
1150.0	984.0	1.639143095431311
270.0	984.0	0.6691773665354774
396.0	975.0	9.812170095253816
317.0	982.0	1.8927530496663656
328.0	983.0	1.1590491981145883
666.0	978.0	6.133174150953876
672.0	984.0	0.6691773665354774
681.0	983.0	1.639143095431311
941.0	983.0	1.3383547330709549
338.0	983.0	0.6691773665354774
830.0	981.0	2.7591120379519816
900.0	978.0	5.518235612570437
906.0	981.0	1.4963260805776206
246.0	981.0	0.9463597073875839
446.0	981.0	0.9463597073875839
452.0	982.0	0.6691773665354774
530.0	981.0	0.9463597073875839
1192.0	981.0	1.8927530496663656
263.0	978.0	5.395139408040404
431.0	981.0	1.3383547330709549
330.0	978.0	3.0665974553989703
810.0	980.0	1.4963260805776206
856.0	977.0	4.015111766273047
447.0	978.0	1.639143095431311
584.0	979.0	1.4963260805776206
640.0	979.0	1.1590491981145883
914.0	978.0	1.8927530496663656
952.0	979.0	1.639143095431311
404.0	978.0	2.1161547209001617
130.0	977.0	1.639143095431311
467.0	978.0	1.4963260805776206
279.0	976.0	4.336809032337532
